Algorithm,Topology,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,No Fail/Fail
Minorminer,Zephyr,Complete,395,2,1183.2260733020012,0,0,1
Minorminer,Zephyr,Complete,350,2,1096.47084283,0,0,1
Minorminer,Zephyr,Complete,320,2,1070.5875364180029,0,0,1
Minorminer,Zephyr,Complete,400,0,1202.5691276689977,0,0,1
Minorminer,Zephyr,Complete,355,0,1097.6570991819972,0,0,1
Minorminer,Zephyr,Complete,325,0,1089.031491971,0,0,1
Minorminer,Zephyr,Complete,400,1,1212.001252578004,0,0,1
Minorminer,Zephyr,Complete,355,1,1092.281666586001,0,0,1
Minorminer,Zephyr,Complete,325,1,1022.1680397849996,0,0,1
Minorminer,Zephyr,Complete,400,2,1214.3732649070007,0,0,1
Minorminer,Zephyr,Complete,355,2,1081.2466397520038,0,0,1
Minorminer,Zephyr,Complete,325,2,1078.4842225179964,0,0,1
Minorminer,Zephyr,Complete,360,0,1033.416866020998,0,0,1
Minorminer,Zephyr,Complete,405,0,1203.8132807660004,0,0,1
Minorminer,Zephyr,Complete,440,0,1028.440636291998,0,0,1
Minorminer,Zephyr,Complete,360,1,1093.3970773440014,0,0,1
Minorminer,Zephyr,Complete,405,1,1209.1938467319997,0,0,1
Minorminer,Zephyr,Complete,440,1,1058.6336785199965,0,0,1
Minorminer,Zephyr,Complete,360,2,1120.4469393109975,0,0,1
Minorminer,Zephyr,Complete,405,2,1028.009636404,0,0,1
Minorminer,Zephyr,Complete,440,2,1071.7444011330008,0,0,1
Minorminer,Zephyr,Complete,365,0,1073.802767606001,0,0,1
Minorminer,Zephyr,Complete,410,0,1029.2565867259982,0,0,1
Minorminer,Zephyr,Complete,445,0,1178.2328407780005,0,0,1
Minorminer,Zephyr,Complete,365,1,1049.7705456539989,0,0,1
Minorminer,Zephyr,Complete,410,1,1189.852220906003,0,0,1
Minorminer,Zephyr,Complete,445,1,1162.7913663079962,0,0,1
Minorminer,Zephyr,Complete,365,2,1105.180090904003,0,0,1
Minorminer,Zephyr,Complete,410,2,1066.3602350349975,0,0,1
Minorminer,Zephyr,Complete,445,2,1062.8856095250012,0,0,1
Minorminer,Zephyr,Complete,370,0,1202.1027905199953,0,0,1
Minorminer,Zephyr,Complete,415,0,1198.3189391580017,0,0,1
Minorminer,Zephyr,Complete,450,0,1166.2183945599973,0,0,1
Minorminer,Zephyr,Complete,370,1,1195.8281445829998,0,0,1
Minorminer,Zephyr,Complete,415,1,1018.3398865150011,0,0,1
Minorminer,Zephyr,Complete,450,1,1134.4127537589957,0,0,1
Minorminer,Zephyr,Complete,370,2,1017.4583682960001,0,0,1
Minorminer,Zephyr,Complete,415,2,1056.4243387319948,0,0,1
Minorminer,Zephyr,Complete,450,2,1165.842576420997,0,0,1
Minorminer,Zephyr,Complete,375,0,1005.9798635240004,0,0,1
Minorminer,Zephyr,Complete,420,0,1054.4358953999981,0,0,1
Minorminer,Zephyr,Complete,455,0,1127.7291639680043,0,0,1
Minorminer,Zephyr,Complete,375,1,1115.4004208650003,0,0,1
Minorminer,Zephyr,Complete,420,1,1058.0061036140032,0,0,1
Minorminer,Zephyr,Complete,455,1,1187.7536225960066,0,0,1
Minorminer,Zephyr,Complete,420,2,1028.7454742749978,0,0,1
Minorminer,Zephyr,Complete,375,2,1143.3053910249946,0,0,1
Minorminer,Zephyr,Complete,455,2,1187.3147489110124,0,0,1
Minorminer,Zephyr,Complete,425,0,1029.8301538369997,0,0,1
Minorminer,Zephyr,Complete,380,0,1066.634137118992,0,0,1
