Algorithm,Topology,Node Yield,Graph Type,Degree,Run #,Time (s),Qubits,Maxchain Size,Fail/No Fail
Layout Aware [Migration],Zephyr,0.60,Complete,60,0,120.56462000000101,1017,24,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,1,135.34132300000056,1257,31,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,2,210.13472700000057,1140,26,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,3,127.92174499999965,1230,31,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,4,85.93856900000173,1494,35,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,5,141.50012099999913,956,24,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,6,79.05382199999985,1353,32,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,7,175.1672409999992,1115,28,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,8,275.4543680000006,1081,25,0.0
Layout Aware [Migration],Zephyr,0.60,Complete,60,9,181.15426000000298,1276,32,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,0,93.33742400000119,1372,33,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,1,112.98512199999823,1173,30,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,2,116.44269900000108,1279,32,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,3,108.42231999999967,1289,32,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,4,151.64747700000044,1332,31,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,5,152.18997500000114,1026,26,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,6,135.5007229999992,1221,27,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,7,152.50163900000007,1238,29,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,8,151.31747099999848,1137,27,0.0
Layout Aware [No Migration],Zephyr,0.60,Complete,60,9,121.62420399999974,1260,32,0.0
Minorminer,Zephyr,0.75,Complete,60,0,99.24652799999967,765,19,0.0
Minorminer,Zephyr,0.75,Complete,60,1,154.06958300000042,593,14,0.0
Minorminer,Zephyr,0.75,Complete,60,2,91.9232519999996,673,17,0.0
Minorminer,Zephyr,0.75,Complete,60,3,97.69659300000058,789,20,0.0
Minorminer,Zephyr,0.75,Complete,60,4,107.83815200000026,726,17,0.0
Minorminer,Zephyr,0.75,Complete,60,5,79.04305900000054,752,19,0.0
Minorminer,Zephyr,0.75,Complete,60,6,68.69857100000081,699,17,0.0
Minorminer,Zephyr,0.75,Complete,60,7,89.1530159999993,661,16,0.0
Minorminer,Zephyr,0.75,Complete,60,8,128.03796299999885,645,15,0.0
Minorminer,Zephyr,0.75,Complete,60,9,113.95077700000002,662,16,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,0,98.88182099999995,573,14,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,1,89.49828400000024,593,15,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,2,133.79490299999998,621,15,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,3,124.29139599999962,645,15,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,4,54.51266300000043,814,21,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,5,135.33024399999977,681,16,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,6,109.50229500000023,638,16,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,7,99.15266599999995,578,14,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,8,97.83497999999963,653,17,0.0
Layout Aware [Migration],Zephyr,0.75,Complete,60,9,129.2297920000001,639,15,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,0,109.24284499999976,746,18,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,1,111.20617099999981,596,16,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,2,130.07658300000003,670,15,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,3,72.65137200000026,700,18,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,4,78.704882,660,16,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,5,87.93032500000027,671,16,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,6,155.87464900000032,621,15,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,7,54.398269999999684,755,20,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,8,114.02870500000063,613,15,0.0
Layout Aware [No Migration],Zephyr,0.75,Complete,60,9,151.08493799999997,597,15,0.0
Minorminer,Zephyr,0.50,Complete,60,0,345.8603669999975,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,1,279.1267259999986,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,2,323.9755539999969,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,3,356.3850249999996,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,4,162.36171299999842,1993,49,0.0
Minorminer,Zephyr,0.50,Complete,60,5,405.24646500000017,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,6,337.06634100000156,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,7,410.63079599999764,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,8,334.76496899999984,0.0,0.0,1
Minorminer,Zephyr,0.50,Complete,60,9,403.2044249999999,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,0,409.54832100000203,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,1,413.4599070000004,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,2,514.7057630000018,2032,48,0.0
Layout Aware [Migration],Zephyr,0.50,Complete,60,3,376.63387299999886,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,4,432.02874200000224,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,5,419.96362600000066,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,6,406.5735740000018,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,7,320.0347870000005,2250,54,0.0
Layout Aware [Migration],Zephyr,0.50,Complete,60,8,412.04454199999964,0.0,0.0,1
Layout Aware [Migration],Zephyr,0.50,Complete,60,9,322.824611,2380,56,0.0
Layout Aware [No Migration],Zephyr,0.50,Complete,60,0,447.30690799999866,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,1,483.6986570000008,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,2,465.88191200000074,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,3,399.90112699999736,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,4,493.7767129999993,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,5,411.8005469999989,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,6,486.17173999999795,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,7,482.8052859999989,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,8,423.92625800000314,0.0,0.0,1
Layout Aware [No Migration],Zephyr,0.50,Complete,60,9,345.56908399999884,1842,41,0.0
