Algorithm,Topology,Graph Type,Degree,# of Runs,Avg Time (s),Avg Qubits,Avg Maxchain Size,Avg Fail/No Fail
Busclique,Zephyr,Complete,40,4,0.093791,4,160,0
Busclique,Zephyr,Complete,41,4,0.0956685,5,205,0
Busclique,Zephyr,Complete,42,4,0.09517975,5,210,0
Busclique,Zephyr,Complete,43,4,0.0917885,5,215,0
Busclique,Zephyr,Complete,44,4,0.0954865,5,220,0
Busclique,Zephyr,Complete,45,4,0.09427,5,225,0
Busclique,Zephyr,Complete,46,4,0.096739,5,230,0
Busclique,Zephyr,Complete,47,4,0.0947565,5,235,0
Busclique,Zephyr,Complete,48,4,0.09525275,5,240,0
Busclique,Zephyr,Complete,49,4,0.09495525,5,245,0
Busclique,Zephyr,Complete,50,4,0.09685925,5,250,0
Busclique,Zephyr,Complete,51,4,0.10290525,5,255,0
Busclique,Zephyr,Complete,52,4,0.09543325,5,260,0
Busclique,Zephyr,Complete,53,4,0.1052375,5,265,0
Busclique,Zephyr,Complete,54,4,0.09935825,5,270,0
Busclique,Zephyr,Complete,55,4,0.0905955,5,275,0
Busclique,Zephyr,Complete,56,4,0.10177,5,280,0
Busclique,Zephyr,Complete,57,4,0.09656425,6,342,0
Busclique,Zephyr,Complete,58,4,0.0930665,6,348,0
Busclique,Zephyr,Complete,59,4,0.094085,6,354,0
Busclique,Zephyr,Complete,60,4,0.0894925,6,360,0
Minorminer,Chimera,Complete,0,4,0,0,0,1
Minorminer,Chimera,Complete,1,4,0,0,0,0
Minorminer,Chimera,Complete,2,4,0,0,0,0
Minorminer,Chimera,Complete,3,4,0.001459144,0.99968,0.49984,0
Minorminer,Chimera,Complete,4,4,0.001774693,1.49952,0.49984,0
Minorminer,Chimera,Complete,5,4,0.002042372,1.99936,0.49984,0
Minorminer,Chimera,Complete,6,4,0.003912781,3.49888,0.74976,0
Minorminer,Chimera,Complete,7,4,0.006534763,4.49856,0.74976,0
Minorminer,Chimera,Complete,8,4,0.010877199,5.53984,0.79136,0
Minorminer,Chimera,Complete,9,4,0.014809348,6.74784,0.99968,0
Minorminer,Chimera,Complete,10,4,0.033662928,8.50688,0.99968,0
Minorminer,Chimera,Complete,11,4,0.038805586,10.448,1.20928,0
Minorminer,Chimera,Complete,12,4,0.05095564,12.24928,1.248,0
Minorminer,Chimera,Complete,13,4,0.08268766,14.73696,1.4512,0
Minorminer,Chimera,Complete,14,4,0.060270373,16.4256,1.49952,0
Minorminer,Chimera,Complete,15,4,0.220462475,18.0464,1.49952,0
Minorminer,Chimera,Complete,16,4,0.215565495,21.0416,1.49952,0
Minorminer,Chimera,Complete,17,4,0.322298309,23.40192,1.54912,0
Minorminer,Chimera,Complete,18,4,0.457286492,26.75168,1.74944,0
Minorminer,Chimera,Complete,19,4,0.353664755,28.29792,1.70944,0
Minorminer,Chimera,Complete,20,4,0.280793458,33.84832,2.03936,0
Minorminer,Chimera,Complete,21,4,0.766369571,34.81088,2.008,0
Minorminer,Chimera,Complete,22,4,0.514671726,40.92928,2.24,0
Minorminer,Chimera,Complete,23,4,0.469470242,45.14624,2.45088,0
Minorminer,Chimera,Complete,24,4,0.479629401,45.26976,2.24928,0
Minorminer,Chimera,Complete,25,4,0.803189215,51.65312,2.54592,0
Minorminer,Chimera,Complete,26,4,0.582709008,53.52928,2.58784,0
Minorminer,Chimera,Complete,27,4,1.127407123,61.27808,2.74752,0
Minorminer,Chimera,Complete,28,4,1.102162622,64.32928,3.0464,0
Minorminer,Chimera,Complete,29,4,0.792758153,69.8224,3.02944,0
Minorminer,Chimera,Complete,30,4,1.058813704,75.60544,3.47936,0
Minorminer,Chimera,Complete,31,4,1.757092791,78.12928,3.09056,0
Minorminer,Chimera,Complete,32,4,0.824113107,85.84736,3.688,0
Minorminer,Chimera,Complete,33,4,1.117058261,91.06816,3.50496,0
Minorminer,Chimera,Complete,34,4,1.604598491,97.17344,3.7888,0
Minorminer,Chimera,Complete,35,4,2.4915208,108.73152,3.91712,0
Minorminer,Chimera,Complete,36,4,3.203565955,104.38336,3.49952,0
Minorminer,Chimera,Complete,37,4,1.36807431,115.5504,3.99008,0
Minorminer,Chimera,Complete,38,4,1.642370454,126.63872,4.31168,0
Minorminer,Chimera,Complete,39,4,2.28064369,127.76096,4.07872,0
Minorminer,Chimera,Complete,40,4,3.988868956,122.05984,3.83264,0
Minorminer,Chimera,Complete,41,4,2.142809375,146.04928,4.97024,0
Minorminer,Chimera,Complete,42,4,2.387627642,145.06944,4.37248,0
Minorminer,Chimera,Complete,43,4,4.365367367,151.33248,4.50528,0
Minorminer,Chimera,Complete,44,4,3.25292662,164.77888,5.02496,0
Minorminer,Chimera,Complete,45,4,5.501542717,172.22048,4.9936,0
Minorminer,Chimera,Complete,46,4,5.153553126,179.59744,4.95936,0
Minorminer,Chimera,Complete,47,4,2.757861103,195.32928,5.7792,0
Minorminer,Chimera,Complete,48,4,5.814143687,185.97728,4.95328,0
Minorminer,Chimera,Complete,49,4,5.200733148,205.9584,5.93312,0
Minorminer,Chimera,Complete,50,4,4.849096739,196.87424,4.84896,0
Minorminer,Chimera,Complete,51,4,2.746235032,214.97088,5.39328,0
Minorminer,Chimera,Complete,52,4,3.383301072,229.45184,5.73696,0
Minorminer,Chimera,Complete,53,4,2.372647081,254.55168,7.20288,0
Minorminer,Chimera,Complete,54,4,3.036408404,252.74144,6.41824,0
Minorminer,Chimera,Complete,55,4,5.199100787,238.97888,5.8064,0
Minorminer,Chimera,Complete,56,4,6.025373488,265.5568,6.97088,0
Minorminer,Chimera,Complete,57,4,2.828017523,268.55648,6.4688,0
Minorminer,Chimera,Complete,58,4,2.671469117,302.60768,6.9488,0
Minorminer,Chimera,Complete,59,4,7.567092621,303.12256,7.45728,0
Minorminer,Chimera,Complete,60,4,3.610231394,321.26272,8.09216,0
Layout Aware [Migration],Chimera,Complete,0,4,0,0,0,1
Layout Aware [Migration],Chimera,Complete,1,4,0,0,0,0
Layout Aware [Migration],Chimera,Complete,2,4,0,0,0,0
Layout Aware [Migration],Chimera,Complete,3,4,0.006288509,0.99968,0.49984,0
